type_of_work,building_function_code,original_date_factor,floor_area,main_construction,storeys,original_location_factor,contract_contract_sum,cost_increment,cost_rebased
1,713.0,177,632,2,2,99.0,1183.610759493671,1.31,2734.14
1,711.0,177,250,2,1,101.0,1654.848,1.31,3822.7
1,320.0,170,473,2,2,92.0,1119.4270613107822,1.4,2686.62
1,562.12,171,826,2,1,114.0,1013.136803874092,1.39,2421.4
1,712.0,171,665,4,1,97.0,1180.451127819549,1.39,2821.28
3,712.0,177,229,1,1,99.0,1163.406113537118,1.31,2687.47
1,810.1,167,360,1,2,97.0,652.8611111111111,1.44,1592.98
1,712.0,177,1400,1,1,107.0,1165.037142857143,1.31,2691.24
4,517.0,170,167,2,1,96.0,2825.868263473054,1.4,6782.08
1,712.0,177,1661,2,1,55.0,991.6363636363636,1.31,2290.68
1,372.0,177,1383,2,1,93.0,2026.8626174981923,1.31,4682.05
1,372.0,177,69,2,1,93.0,1023.6086956521739,1.31,2364.54
3,711.0,171,442,2,1,92.0,1603.8235294117646,1.39,3833.14
3,712.0,170,1019,2,1,99.0,1087.5515210991168,1.4,2610.12
1,282.1,177,750,2,1,97.0,547.3653333333333,1.31,1264.41
1,274.0,177,744,2,1,85.0,760.4381720430108,1.31,1756.61
1,712.1,171,304,2,1,100.0,937.3815789473684,1.39,2240.34
1,712.12,162,340,2,1,98.0,6600.0,1.52,16632.0
1,284.1,170,4182,2,1,98.0,357.66331898613106,1.4,858.39
1,320.0,170,48101,2,4,106.0,1207.781439055321,1.4,2898.68
1,320.0,152,1552,1,2,106.0,1019.4813144329897,1.68,2732.21
1,712.0,177,1567,1,1,97.0,1231.4582003828973,1.31,2844.67
4,127.4,167,1560,2,1,97.0,323.5467948717949,1.44,789.45
3,712.0,167,1050,2,1,93.0,802.2114285714285,1.44,1957.4
3,712.0,167,503,2,1,93.0,1042.5546719681909,1.44,2543.83
3,856.2,177,406,1,2,93.0,1391.4778325123152,1.31,3214.31
1,713.1,177,401,1,1,97.0,1248.4039900249377,1.31,2883.81
1,320.0,167,6885,2,3,106.0,1046.176615831518,1.44,2552.67
1,320.0,158,5687,3,2,106.0,917.3798136099877,1.58,2366.84
1,320.0,158,1685,2,2,106.0,2735.3626112759644,1.58,7057.24
1,320.0,158,1376,2,2,106.0,3349.626453488372,1.58,8642.04
1,320.0,158,1835,2,2,106.0,2511.76348773842,1.58,6480.35
1,320.0,149,1905,1,2,106.0,728.2734908136483,1.74,1995.47
1,562.32,147,1766,2,1,110.0,527.7955832389581,1.78,1467.27
1,562.11,177,1711,3,1,100.0,1688.5026300409118,1.31,3900.44
1,320.0,158,9056,2,4,99.0,1170.963780918728,1.58,3021.09
1,320.0,162,6384,2,2,99.0,1071.0581140350878,1.52,2699.07
3,417.73,177,274,2,1,93.0,1780.2445255474452,1.31,4112.36
1,282.12,171,3352,2,1,106.0,853.5721957040573,1.39,2040.04
1,712.0,177,297,1,1,103.0,1440.1851851851852,1.31,3326.83
1,712.0,177,74,2,1,103.0,1631.7432432432433,1.31,3769.33
3,712.0,177,286,1,1,102.0,1656.0034965034965,1.31,3825.37
1,541.2,177,3927,2,1,100.0,1653.0982938629998,1.31,3818.66
1,721.8,177,1698,2,3,119.0,1227.683156654888,1.31,2835.95
3,712.0,170,261,2,1,103.0,1245.7854406130268,1.4,2989.89
1,712.0,182,137,2,1,103.0,2128.970802919708,1.24,4768.89
3,711.0,167,287,1,1,91.0,905.9233449477352,1.44,2210.45
1,320.0,177,2213,2,1,103.0,790.7817442385901,1.31,1826.71
1,284.2,170,27254,2,1,106.0,554.1961913847508,1.4,1330.07
1,713.0,177,2337,2,2,91.0,726.6700898587933,1.31,1678.61
1,713.1,171,900,2,1,98.0,872.8844444444444,1.39,2086.19
1,273.0,152,6705,2,1,97.0,690.4183445190157,1.68,1850.32
3,712.1,171,1444,2,1,98.0,942.3919667590028,1.39,2252.32
2,712.1,171,896,2,1,98.0,1518.765625,1.39,3629.85
1,717.2,177,151,1,1,98.0,1424.9668874172185,1.31,3291.67
1,282.22,170,660,2,1,99.0,606.8075757575757,1.4,1456.34
1,425.0,177,475,1,1,91.0,894.1789473684211,1.31,2065.55
1,442.0,41,788,2,1,107.0,287.11675126903555,8.95,2856.81
1,444.0,35,578,1,2,97.0,144.32006920415225,10.66,1682.77
1,445.1,83,1010,1,1,103.0,451.3920792079208,3.92,2220.85
1,376.5,89,384,1,1,101.0,534.6927083333334,3.58,2448.89
1,446.0,42,742,1,2,98.0,145.29245283018867,8.71,1410.79
1,447.0,41,980,1,1,96.0,206.03367346938776,8.95,2050.04
1,446.0,90,669,1,1,119.0,440.44992526158444,3.53,1995.24
1,446.0,84,491,1,1,103.0,450.030549898167,3.86,2187.15
1,447.0,42,1368,1,2,99.0,184.37061403508773,8.71,1790.24
1,446.0,44,2220,1,1,107.0,177.25225225225225,8.27,1643.13
1,446.0,42,708,1,2,97.0,150.614406779661,8.71,1462.47
1,444.0,46,969,1,1,119.0,166.4984520123839,7.87,1476.84
1,447.0,46,1746,1,1,103.0,161.5504009163803,7.87,1432.95
1,416.2,84,2586,1,1,106.0,621.252513534416,3.86,3019.29
1,856.3,86,227,2,1,90.0,2534.806167400881,3.74,12014.98
1,562.11,93,3892,2,1,93.0,596.6978417266187,3.39,2619.5
1,820.1,86,187,4,1,94.0,440.3636363636364,3.74,2087.32
1,852.0,83,22422,3,1,109.0,470.6764338596022,3.92,2315.73
1,843.0,88,1476,1,1,111.0,335.5528455284553,3.64,1556.97
1,448.0,54,282,1,1,97.0,310.63120567375887,6.56,2348.37
1,421.0,90,583,1,1,109.0,441.30531732418524,3.53,1999.11
3,444.0,64,668,1,1,102.0,296.55389221556885,5.38,1892.01
1,415.0,86,816,1,1,90.0,705.1482843137255,3.74,3342.4
1,417.5,94,1097,1,1,97.0,356.2424794895169,3.34,1546.09
1,284.1,90,16833,3,1,126.0,234.76546070219212,3.53,1063.49
1,341.1,89,3716,2,1,100.0,130.2427341227126,3.58,596.51
1,568.11,88,721,1,1,126.0,533.8280166435507,3.64,2476.96
